Timestamp,Transcription
2024-11-12 19:56:24,最強締めて行ってもらいたくて 頑張ってたのでそう言ってもらえて嬉しいです
2024-11-12 19:56:36, ありがとうございます お誕生日おめでとう ありがとう そうだね 4期生とかが入ってくれるのかな そこも楽しみですね
2024-11-12 19:56:46, 京子と喧嘩したことある ないよ全然ないなんか結構
2024-11-12 19:56:57, バチバチしてると思われがちなんだけど 全然仲良し この間も連絡取り合って ごはん屋さん
2024-11-12 19:57:09, ここにかき氷屋さん ここ行ったとか新幹線 並ばなきゃ
2024-11-12 19:57:19, スマートイヤーの座席を一緒にグループでも簡単スマート EX キャンペーン なるほど知るほど 松井証券の f x
2024-11-12 19:57:30, は スマホで100円から 取引できるししかも 夜間も電話サポートしてくれるから返信 投資を真面目に面白く f x は 松井証券 キャンペーン中
2024-11-12 19:57:40, 話ししたりあと2人とも家にスマートフォン 携帯
2024-11-12 19:57:50,
2024-11-12 19:58:00, 困ったり二人で旅したこともあるよ 弾丸 旅 知らない方多いんじゃないなんかね
2024-11-12 19:58:10, デビューした年に急に2日間 かな 3日間ぐらい休みなんですけどちょっと今夜今から大阪
2024-11-12 19:58:21, 行かないみたいになって2人でユニバーサルスタジオジャパンでそのまま帰ろうと思ったんだけど
2024-11-12 19:58:32, 京子が帰りの新幹線で帰るのみたいな本当にファンのみたいになって帰るよ
2024-11-12 19:58:42, って言ったけどやっぱりもうちょっと旅したいな ってなって次の京都で降りて 次の日 京都に旅したり
2024-11-12 19:58:55, 兵庫も乗ったね 似てる また旅したいよ
2024-11-12 19:59:07, そんな感じ ユニバで自分はしてないのそん時は人狼 遠く ハマってなかった 最近 恭子 ね
2024-11-12 19:59:18,
2024-11-12 19:59:28, 終わらしてしまうかもしれない 違う話しようか 人狼 やる
2024-11-12 19:59:38, 避難のめっちゃ面白かったあのね 待って 私 やりたいことあったのてってるー 自分の誕生日プレゼントに行って自分の誕生日プレゼントにオードリーさん
2024-11-12 19:59:50, 東京ドーム グッズをたくさん購入させて頂いたんですけれども これなんだと思いますか
2024-11-12 20:00:03, エリカ やってエリカってさあれかな 隣のやつかなあ スノードーム
